old_code,old_name_ja,new_code,new_name_ja,merged_year,reason,source
30425,熊野川町,,,2005,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
31366,北条町,31372,北栄町,2005,official record not seen in vacancy surveys,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
32208,平田市,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
32304,東出雲町,,,2011,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
32401,斐川町,,,2011,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
32405,大社町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
32421,温泉津町,32505,吉賀町,2005,official record not seen in vacancy surveys,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
32462,金城町,32505,吉賀町,2005,official record not seen in vacancy surveys,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
32502,日原町,,,2005,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
32503,柿木村,32505,吉賀町,2005,official record not seen in vacancy surveys,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
33201,岡山市,33100,岡山市,2009,successor 33100 became a designated city; represented as its wards in municipalities.csv,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
33303,建部町,,,2007,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
33322,山陽町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
33345,佐伯町,,,2006,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
