station_id,name,name_ja,name_source,lat,lng,pref,operators,merge_confidence,member_count
st_00095,Roppongi,六本木,odpt,35.663453,139.731255,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00096,Nishi-kasai,西葛西,odpt,35.664562,139.859600,Tokyo,Tokyo Metro,single,1
st_00097,Tsukijishijo,築地市場,odpt,35.664919,139.766929,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00098,Roppongi-itchome,六本木一丁目,odpt,35.665075,139.738900,Tokyo,Tokyo Metro,single,1
st_00099,Shimbashi,新橋,odpt,35.666103,139.759163,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation;Yurikamome,high,8
st_00100,Omote-sando,表参道,odpt,35.665279,139.712067,Tokyo,Tokyo Metro,high,3
st_00101,Urayasu,浦安,odpt,35.665903,139.893236,Tokyo,Tokyo Metro,single,1
st_00102,Nogizaka,乃木坂,odpt,35.666592,139.726229,Tokyo,Tokyo Metro,single,1
st_00103,Shintomicho,新富町,odpt,35.669229,139.773033,Tokyo,Tokyo Metro,high,2
st_00104,Minami-sunamachi,南砂町,odpt,35.668415,139.831695,Tokyo,Tokyo Metro,single,1
st_00105,Yoyogi-uehara,代々木上原,odpt,35.669017,139.679884,Tokyo,Odakyu Electric Railway;Tokyo Metro,high,2
st_00106,Yoyogi-koen,代々木公園,odpt,35.669104,139.689791,Tokyo,Tokyo Metro,single,1
st_00107,Meiji-jingumae<Harajuku>,明治神宮前〈原宿〉,odpt,35.668664,139.704592,Tokyo,JR East;Tokyo Metro,high,3
st_00108,Uchisaiwaicho,内幸町,odpt,35.669344,139.755330,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00109,Kiba,木場,odpt,35.669356,139.807115,Tokyo,Tokyo Metro,single,1
st_00110,Toyocho,東陽町,odpt,35.669590,139.817680,Tokyo,Tokyo Metro,single,1
st_00111,Higashi-ginza,東銀座,odpt,35.669522,139.767492,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00112,Toranomon,虎ノ門,odpt,35.668734,139.748929,Tokyo,Tokyo Metro,high,2
st_00113,Gaiemmae,外苑前,odpt,35.670375,139.717825,Tokyo,Tokyo Metro,single,1
st_00114,Manganji,万願寺,odpt,35.671300,139.419900,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00115,Ginza,銀座,odpt,35.672790,139.765009,Tokyo,Tokyo Metro,high,4
st_00116,Akasaka,赤坂,odpt,35.672104,139.736413,Tokyo,Tokyo Metro,single,1
st_00117,Kasumigaseki,霞ケ関,odpt,35.673557,139.751837,Tokyo,Tokyo Metro,high,3
st_00118,Minami-gyotoku,南行徳,odpt,35.672729,139.902276,Chiba,Tokyo Metro,single,1
st_00119,Monzen-nakacho,門前仲町,odpt,35.672332,139.795612,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00120,Aoyama-itchome,青山一丁目,odpt,35.672938,139.724048,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00121,Kokkai-gijidomae,国会議事堂前,odpt,35.673274,139.742975,Tokyo,Tokyo Metro,high,4
st_00122,Hatchobori,八丁堀,odpt,35.675368,139.777334,Tokyo,JR East;Tokyo Metro,high,2
st_00123,Takaracho,宝町,odpt,35.675606,139.771966,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00124,Hibiya,日比谷,odpt,35.675196,139.760481,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,6
st_00125,Kyobashi,京橋,odpt,35.676704,139.770110,Tokyo,Tokyo Metro,single,1
st_00126,Nagatacho,永田町,odpt,35.677666,139.738924,Tokyo,Tokyo Metro,high,5
st_00127,Sakuradamon,桜田門,odpt,35.677459,139.751886,Tokyo,Tokyo Metro,single,1
st_00128,Koshukaido,甲州街道,odpt,35.678200,139.409200,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00129,Kita-sando,北参道,odpt,35.678503,139.705469,Tokyo,Tokyo Metro,single,1
st_00130,Kayabacho,茅場町,odpt,35.679712,139.779445,Tokyo,Tokyo Metro,high,2
st_00131,Kokuritsu-kyogijo,国立競技場,odpt,35.679896,139.714667,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00132,Nijubashimae<Marunouchi>,二重橋前〈丸の内〉,odpt,35.680505,139.761780,Tokyo,Tokyo Metro,single,1
st_00133,Nihombashi,日本橋,odpt,35.682017,139.774417,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00134,Kiyosumi-shirakawa,清澄白河,odpt,35.682237,139.799299,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00135,Gyotoku,行徳,odpt,35.682620,139.914185,Chiba,Tokyo Metro,single,1
st_00136,Yoyogi,代々木,odpt,35.683505,139.701603,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,3
st_00137,Honancho,方南町,odpt,35.683515,139.657935,Tokyo,Tokyo Metro,single,1
st_00138,Funabori,船堀,odpt,35.683760,139.863955,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00139,Tokyo,東京,odpt,35.684932,139.764670,Tokyo,JR Central;JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,22
st_00140,Yotsuya,四ツ谷,odpt,35.685139,139.729864,Tokyo,JR East;Tokyo Metro,high,4
st_00141,Kojimachi,麴町,odpt,35.684785,139.737350,Tokyo,Tokyo Metro,single,1
st_00142,Hanzomon,半蔵門,odpt,35.685380,139.741695,Tokyo,Tokyo Metro,single,1
st_00143,Ichinoe,一之江,odpt,35.685987,139.882586,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00144,Ningyocho,人形町,odpt,35.685201,139.783262,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
